timestamp,cpu_percent,mem_usage,mem_percent
2026-09-10T14:52:18Z,0.07%,22.1MiB / 11.53GiB,0.19%
2026-09-10T14:52:20Z,0.07%,22.35MiB / 11.53GiB,0.19%
2026-09-10T14:52:22Z,0.06%,22.6MiB / 11.53GiB,0.19%
2026-09-10T14:52:25Z,0.14%,22.11MiB / 11.53GiB,0.19%
2026-09-10T14:52:27Z,27.68%,44.38MiB / 11.53GiB,0.38%
2026-09-10T14:52:29Z,27.40%,60.14MiB / 11.53GiB,0.51%
2026-09-10T14:52:31Z,25.06%,61.28MiB / 11.53GiB,0.52%
2026-09-10T14:52:33Z,26.93%,61.94MiB / 11.53GiB,0.52%
2026-09-10T14:52:36Z,25.90%,62.28MiB / 11.53GiB,0.53%
2026-09-10T14:52:38Z,25.97%,63.81MiB / 11.53GiB,0.54%
2026-09-10T14:52:40Z,23.96%,64.23MiB / 11.53GiB,0.54%
2026-09-10T14:52:44Z,24.79%,64.98MiB / 11.53GiB,0.55%
2026-09-10T14:52:47Z,26.40%,65.23MiB / 11.53GiB,0.55%
2026-09-10T14:52:49Z,25.06%,65.38MiB / 11.53GiB,0.55%
2026-09-10T14:52:51Z,23.72%,65.61MiB / 11.53GiB,0.56%
2026-09-10T14:52:53Z,25.93%,65.91MiB / 11.53GiB,0.56%
2026-09-10T14:52:56Z,25.54%,65.87MiB / 11.53GiB,0.56%
2026-09-10T14:52:58Z,26.16%,65.88MiB / 11.53GiB,0.56%
2026-09-10T14:53:00Z,23.93%,65.89MiB / 11.53GiB,0.56%
2026-09-10T14:53:02Z,25.86%,65.88MiB / 11.53GiB,0.56%
2026-09-10T14:53:05Z,25.56%,65.91MiB / 11.53GiB,0.56%
2026-09-10T14:53:07Z,26.42%,65.9MiB / 11.53GiB,0.56%
2026-09-10T14:53:09Z,25.89%,65.88MiB / 11.53GiB,0.56%
2026-09-10T14:53:11Z,22.71%,65.93MiB / 11.53GiB,0.56%
2026-09-10T14:53:14Z,21.03%,65.89MiB / 11.53GiB,0.56%
2026-09-10T14:53:16Z,24.97%,65.86MiB / 11.53GiB,0.56%
2026-09-10T14:53:20Z,21.95%,65.69MiB / 11.53GiB,0.56%
2026-09-10T14:53:23Z,22.69%,65.72MiB / 11.53GiB,0.56%
2026-09-10T14:53:25Z,20.64%,63.83MiB / 11.53GiB,0.54%
